problem_id,statement,language,code,human_generated
p00001,"List of Top 3 Hills
There is a data which provides heights (in meter) of mountains. The data is only for ten mountains.
Write a program which prints heights of the top three mountains in descending order.
Input
Height of mountain 1
Height of mountain 2
Height of mountain 3
 .
 .
Height of mountain 10
Constraints
0 ≤ height of mountain (integer) ≤ 10,000
Output
Height of the 1st mountain
Height of the 2nd mountain
Height of the 3rd mountain
Sample Input 1
1819
2003
876
2840
1723
1673
3776
2848
1592
922
Output for the Sample Input 1
3776
2848
2840
Sample Input 2
100
200
300
400
500
600
700
800
900
900
Output for the Sample Input 2
900
900
800",C,"#include <stdio.h>

int main() {
    int heights[10];
    int i, j;
    
    for (i = 0; i < 10; i++) {
        scanf(""%d"", &heights[i]);
    }
    
    for (i = 0; i < 10; i++) {
        for (j = i + 1; j < 10; j++) {
            if (heights[i] < heights[j]) {
                int temp = heights[i];
                heights[i] = heights[j];
                heights[j] = temp;
            }
        }
    }
    
    printf(""%d\n"", heights[0]);
    printf(""%d\n"", heights[1]);
    printf(""%d\n"", heights[2]);
    
    return 0;
}
",0
p00001,"List of Top 3 Hills
There is a data which provides heights (in meter) of mountains. The data is only for ten mountains.
Write a program which prints heights of the top three mountains in descending order.
Input
Height of mountain 1
Height of mountain 2
Height of mountain 3
 .
 .
Height of mountain 10
Constraints
0 ≤ height of mountain (integer) ≤ 10,000
Output
Height of the 1st mountain
Height of the 2nd mountain
Height of the 3rd mountain
Sample Input 1
1819
2003
876
2840
1723
1673
3776
2848
1592
922
Output for the Sample Input 1
3776
2848
2840
Sample Input 2
100
200
300
400
500
600
700
800
900
900
Output for the Sample Input 2
900
900
800",C,"#include <stdio.h>
int main(void)
{
	int a[10];
	int i;
	int MAX[3];
	for(i = 0; i < 10; i++)
	{
		scanf(""%d"", &a[i]);
	}
	for(i = 0; i < 3; i++)
	{
		MAX[i] = 0;
	}
	for(i = 0; i < 10; i++)
	{
		if(MAX[0] < a[i])
		{
			MAX[0] = a[i];
		}
	}
	for(i = 0; i < 10; i++)
	{
		if(MAX[1] < a[i])
		{
			if(a[i] < MAX[0])
			{
				MAX[1] = a[i];
			}
		}
	}
	for(i = 0; i < 10; i++)
	{
		if(MAX[2] < a[i])
		{
			if(a[i] < MAX[1])
			{
				MAX[2] = a[i];
			}
		}
	}
	for(i = 0; i < 3; i++)
	{
		printf(""%d\n"", MAX[i]);
	}
	return 0;
}",1
p00001,"List of Top 3 Hills
There is a data which provides heights (in meter) of mountains. The data is only for ten mountains.
Write a program which prints heights of the top three mountains in descending order.
Input
Height of mountain 1
Height of mountain 2
Height of mountain 3
 .
 .
Height of mountain 10
Constraints
0 ≤ height of mountain (integer) ≤ 10,000
Output
Height of the 1st mountain
Height of the 2nd mountain
Height of the 3rd mountain
Sample Input 1
1819
2003
876
2840
1723
1673
3776
2848
1592
922
Output for the Sample Input 1
3776
2848
2840
Sample Input 2
100
200
300
400
500
600
700
800
900
900
Output for the Sample Input 2
900
900
800",Java,"import java.util.*;

public class Main {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        Integer[] heights = new Integer[10];
        
        for (int i = 0; i < 10; i++) {
            heights[i] = sc.nextInt();
        }
        
        Arrays.sort(heights, Collections.reverseOrder());
        
        System.out.println(heights[0]);
        System.out.println(heights[1]);
        System.out.println(heights[2]);
        
        sc.close();
    }
}
",0
p00001,"List of Top 3 Hills
There is a data which provides heights (in meter) of mountains. The data is only for ten mountains.
Write a program which prints heights of the top three mountains in descending order.
Input
Height of mountain 1
Height of mountain 2
Height of mountain 3
 .
 .
Height of mountain 10
Constraints
0 ≤ height of mountain (integer) ≤ 10,000
Output
Height of the 1st mountain
Height of the 2nd mountain
Height of the 3rd mountain
Sample Input 1
1819
2003
876
2840
1723
1673
3776
2848
1592
922
Output for the Sample Input 1
3776
2848
2840
Sample Input 2
100
200
300
400
500
600
700
800
900
900
Output for the Sample Input 2
900
900
800",Java,"public class Main{
	public static void main(String[] a) throws Exception {
		int[] heights = new int[10];
		for (int i = 0; i < 10; i++) {
			BufferedReader height = new BufferedReader(new InputStreamReader(System.in));	
			heights[i] = Integer.parseInt(height.readLine());
			System.out.println(heights[i]);
		}
		Arrays.sort(heights);
		System.out.println(heights[0]);
		System.out.println(heights[1]);
		System.out.println(heights[2]);
	}
}",1
p00001,"List of Top 3 Hills
There is a data which provides heights (in meter) of mountains. The data is only for ten mountains.
Write a program which prints heights of the top three mountains in descending order.
Input
Height of mountain 1
Height of mountain 2
Height of mountain 3
 .
 .
Height of mountain 10
Constraints
0 ≤ height of mountain (integer) ≤ 10,000
Output
Height of the 1st mountain
Height of the 2nd mountain
Height of the 3rd mountain
Sample Input 1
1819
2003
876
2840
1723
1673
3776
2848
1592
922
Output for the Sample Input 1
3776
2848
2840
Sample Input 2
100
200
300
400
500
600
700
800
900
900
Output for the Sample Input 2
900
900
800",Python,"heights = []
for _ in range(10):
    heights.append(int(input()))

heights.sort(reverse=True)

for i in range(3):
    print(heights[i])
",0
p00001,"List of Top 3 Hills
There is a data which provides heights (in meter) of mountains. The data is only for ten mountains.
Write a program which prints heights of the top three mountains in descending order.
Input
Height of mountain 1
Height of mountain 2
Height of mountain 3
 .
 .
Height of mountain 10
Constraints
0 ≤ height of mountain (integer) ≤ 10,000
Output
Height of the 1st mountain
Height of the 2nd mountain
Height of the 3rd mountain
Sample Input 1
1819
2003
876
2840
1723
1673
3776
2848
1592
922
Output for the Sample Input 1
3776
2848
2840
Sample Input 2
100
200
300
400
500
600
700
800
900
900
Output for the Sample Input 2
900
900
800",Python,"import sys
e = sys.stdin.readlines()
e = [int(i) for i in e]
for i in range(3):
    m = max(e)
    e.remove(m)
    print (m)
",1
p00003,"Is it a Right Triangle?
Write a program which judges wheather given length of three side form a right triangle. Print ""
YES
"" if the given sides (integers) form a right triangle, ""
NO
"" if not so.
Input
Input consists of several data sets. In the first line, the number of data set,
N
is given. Then,
N
lines follow, each line corresponds to a data set. A data set consists of three integers separated by a single space.
Constraints
1 ≤ length of the side ≤ 1,000
N
≤ 1,000
Output
For each data set, print ""
YES
"" or ""
NO
"".
Sample Input
3
4 3 5
4 3 6
8 8 8
Output for the Sample Input
YES
NO
NO",C,"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    
    while (n--) {
        int a, b, c;
        scanf(""%d %d %d"", &a, &b, &c);
        
        int aa = a * a;
        int bb = b * b;
        int cc = c * c;
        
        if (aa + bb == cc || aa + cc == bb || bb + cc == aa) {
            printf(""YES\n"");
        } else {
            printf(""NO\n"");
        }
    }
    
    return 0;
}
",0
p00003,"Is it a Right Triangle?
Write a program which judges wheather given length of three side form a right triangle. Print ""
YES
"" if the given sides (integers) form a right triangle, ""
NO
"" if not so.
Input
Input consists of several data sets. In the first line, the number of data set,
N
is given. Then,
N
lines follow, each line corresponds to a data set. A data set consists of three integers separated by a single space.
Constraints
1 ≤ length of the side ≤ 1,000
N
≤ 1,000
Output
For each data set, print ""
YES
"" or ""
NO
"".
Sample Input
3
4 3 5
4 3 6
8 8 8
Output for the Sample Input
YES
NO
NO",C,"#include<stdio.h>

int main()
{
int N, i, a, b, c, max;

scanf(""%d"", &N);

for(i=0; i<N; i++){
scanf(""%d %d %d"", &a, &b, &c);

if(a<=b && b<=c){
max = c;
if(c*c==a*a+b*b){
puts(""YES"");
}else{
puts(""NO"");
}
}
else if(a<=c && c<=b){
max = b;
if(b*b==a*a+c*c){
puts(""YES"");
}else{
puts(""NO"");
}
}
else if(b<=c && c<=a){
max = a;
if(a*a==b*b+c*c){
puts(""YES"");
}else{
puts(""NO"");
}
}
else if(b<=a && a<=c){
max = c;
if(c*c==a*a+b*b){
puts(""YES"");
}else{
puts(""NO"");
}
}
else if(c<=a && a<=b){
max = b;
if(b*b==a*a+c*c){
puts(""YES"");
}else{
puts(""NO"");
}
}
else if(c<=b && b<=a){
max = a;
if(a*a==b*b+c*c){
puts(""YES"");
}else{
puts(""NO"");
}
}

}

return 0;
}",1
p00003,"Is it a Right Triangle?
Write a program which judges wheather given length of three side form a right triangle. Print ""
YES
"" if the given sides (integers) form a right triangle, ""
NO
"" if not so.
Input
Input consists of several data sets. In the first line, the number of data set,
N
is given. Then,
N
lines follow, each line corresponds to a data set. A data set consists of three integers separated by a single space.
Constraints
1 ≤ length of the side ≤ 1,000
N
≤ 1,000
Output
For each data set, print ""
YES
"" or ""
NO
"".
Sample Input
3
4 3 5
4 3 6
8 8 8
Output for the Sample Input
YES
NO
NO",Java,"import java.util.Scanner;
import java.util.Arrays;

public class Main {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        int n = sc.nextInt();
        
        for (int i = 0; i < n; i++) {
            int[] sides = new int[3];
            sides[0] = sc.nextInt();
            sides[1] = sc.nextInt();
            sides[2] = sc.nextInt();
            
            Arrays.sort(sides);
            
            if (sides[0] * sides[0] + sides[1] * sides[1] == sides[2] * sides[2]) {
                System.out.println(""YES"");
            } else {
                System.out.println(""NO"");
            }
        }
        
        sc.close();
    }
}
",0
p00003,"Is it a Right Triangle?
Write a program which judges wheather given length of three side form a right triangle. Print ""
YES
"" if the given sides (integers) form a right triangle, ""
NO
"" if not so.
Input
Input consists of several data sets. In the first line, the number of data set,
N
is given. Then,
N
lines follow, each line corresponds to a data set. A data set consists of three integers separated by a single space.
Constraints
1 ≤ length of the side ≤ 1,000
N
≤ 1,000
Output
For each data set, print ""
YES
"" or ""
NO
"".
Sample Input
3
4 3 5
4 3 6
8 8 8
Output for the Sample Input
YES
NO
NO",Java,"import java.util.Scanner;
public class Main{

	public static void main(String[] args) {
		// TODO ?????????????????????????????????????????????
		Scanner kb=new Scanner(System.in);
int size=kb.nextInt();
int a[][]=new int[size][3];
int x,y,z;
for(int i=0;i<size;i++){
	a[i][0]=kb.nextInt();
	a[i][1]=kb.nextInt();
	a[i][2]=kb.nextInt();
}
for(int i=0;i<size;i++){
x=a[i][0];
y=a[i][1];
z=a[i][2];
if(x*x+y*y==z*z||y*y+z*z==x*x||z*z+x*x==y*y){
	System.out.println(""YES"");
}else{
	System.out.println(""NO"");
}
}
	}

}",1
p00003,"Is it a Right Triangle?
Write a program which judges wheather given length of three side form a right triangle. Print ""
YES
"" if the given sides (integers) form a right triangle, ""
NO
"" if not so.
Input
Input consists of several data sets. In the first line, the number of data set,
N
is given. Then,
N
lines follow, each line corresponds to a data set. A data set consists of three integers separated by a single space.
Constraints
1 ≤ length of the side ≤ 1,000
N
≤ 1,000
Output
For each data set, print ""
YES
"" or ""
NO
"".
Sample Input
3
4 3 5
4 3 6
8 8 8
Output for the Sample Input
YES
NO
NO",Python,"n = int(input())
for _ in range(n):
    sides = list(map(int, input().split()))
    sides.sort()
    if sides[0]**2 + sides[1]**2 == sides[2]**2:
        print(""YES"")
    else:
        print(""NO"")
",0
p00003,"Is it a Right Triangle?
Write a program which judges wheather given length of three side form a right triangle. Print ""
YES
"" if the given sides (integers) form a right triangle, ""
NO
"" if not so.
Input
Input consists of several data sets. In the first line, the number of data set,
N
is given. Then,
N
lines follow, each line corresponds to a data set. A data set consists of three integers separated by a single space.
Constraints
1 ≤ length of the side ≤ 1,000
N
≤ 1,000
Output
For each data set, print ""
YES
"" or ""
NO
"".
Sample Input
3
4 3 5
4 3 6
8 8 8
Output for the Sample Input
YES
NO
NO",Python,"N = int(input())
for i in range(N):
    triangle = sorted([int(n) for n in input().split()])
    if triangle[0]**2 + triangle[1]**2 == triangle[2]**2:
        print('YES')
    else:
        print('NO')

",1
